index,type,smiles
0,CARBONYL,O=C1CN(Cc2cc(F)c(F)cc2F)S(=O)(=O)c2ccccc21
1,CARBONYL,CCC1(C=O)COC(=O)N1
2,YLIDE,C(CCCCCCCCCCCOC1CCCCO1)=P(c1ccccc1)(c1ccccc1)c1ccccc1
3,CARBONYL,O=Cc1cc(Br)ccc1I
4,CARBONYL,CCOC(=O)CC(CC(=O)OCC)CC(=O)c1cccc(OC)c1
5,CARBONYL,C=CCC/C=C/[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](C)/C=C(\C)C=O
6,CARBONYL,C[C@H](CC=O)NC(=O)OC(C)(C)C
7,YLIDE,C(=Cc1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1
8,CARBONYL,COc1ccc(CN2c3ccccc3[C@]34CCN5C(=O)CC[C@](C=O)(CC[C@@H]23)[C@@H]54)cc1
9,CARBONYL,CC(C)(C)c1cccc(-c2cccc(C(=O)c3ccccn3)c2)c1OCc1ccccc1
10,CARBONYL,COc1ccc(CO[C@@H](C)[C@H](C)CCC=O)cc1
11,CARBONYL,O=C(c1ccc(F)cc1)C(F)(F)F
12,YLIDE,C(c1ccc2ccc3ccc4ccccc4c3c2c1)=P(c1ccccc1)(c1ccccc1)c1ccccc1
13,CARBONYL,CC(C)(C)OC(=O)N[C@H]1CCC(=O)OC1
14,CARBONYL,CC(C)(C)[Si](OCCCCOCC(COCCCCCCCCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)(c1ccccc1)c1ccccc1
15,CARBONYL,CO[C@@H]1CC(=O)C2O[C@H](c3ccccc3)OCC2O1
16,CARBONYL,COc1ccc2c(c1)CC2=O
17,YLIDE,CC(=O)Nc1ccccc1C(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
18,CARBONYL,COCOc1ccc(C=O)cc1-c1cc(OC)c(OC)cc1[C@@H]1C[C@@H](O)C[C@H]2CCCCN21
19,CARBONYL,O=Cc1ccc2c3ccccc3n(-c3ccccn3)c2c1
20,CARBONYL,Cc1cc(Cl)cc2c1N(C)C(=O)C2=O
21,CARBONYL,CC(C)(C)[Si](C)(C)OCCCC#CC=O
22,CARBONYL,COCC#Cc1c(C=O)ccc2ccccc12
23,CARBONYL,O=C(C1=C[C@H]2C[C@@H]3CCCC[C@@]13CC21OCCO1)c1ccccc1
24,CARBONYL,Nc1ncnc(Cl)c1C=O
25,YLIDE,CN(C)CCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1
26,CARBONYL,O=C1Nc2ccc(F)cc2C1=O
27,CARBONYL,CC(C)(C)[Si](C)(C)OCCC[C@@H]1O[C@H]1CCC=O
28,CARBONYL,C=C[C@]1(C(=O)OC(C)(C)C)C[C@@](C=O)(COC(=O)CCC)CS1
29,CARBONYL,N#Cc1ccc(C#Cc2ccc(C=O)cc2)cc1
30,CARBONYL,CC/C=C/C=O
31,CARBONYL,COc1ccc(N2CCC(=O)c3cc(Cl)cc(Br)c32)cc1
32,CARBONYL,CC(C)(C)OC(=O)N[C@@H](C=O)C(c1ccccc1)c1ccccc1
33,CARBONYL,CC(C)(C)[Si](C)(C)OC1C=C2CCC(=O)[C@@]2(C)CC1O[Si](C)(C)C(C)(C)C
34,CARBONYL,CCCCC[C@H]1CC[C@H](CCc2ccc(-c3ccc(CCCC=O)cc3)c(F)c2F)CC1
35,CARBONYL,Cn1c(COc2ccc(C=O)cc2)nc2ccccc21
36,CARBONYL,O=Cc1cccs1
37,CARBONYL,C=CCN(c1ccccc1)c1oc2ccccc2c(=O)c1C=O
38,YLIDE,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)CCl
39,CARBONYL,C=C[C@@H]1[C@H](CC)[C@H]2OC[C@@H](c3ccccc3)N2C(=O)[C@]1(Cc1c(C=O)n(S(=O)(=O)c2ccccc2)c2ccccc12)C(=O)OCc1ccccc1
40,CARBONYL,COc1ccc(-c2nn(-c3ccc(OC)cc3)cc2C=O)cc1
41,CARBONYL,COc1ccc2ccc(Br)c(C=O)c2c1
42,CARBONYL,C=CCCN(CC(=O)C1CC1)S(=O)(=O)c1ccc(C)cc1
43,CARBONYL,COc1c(I)cc(C=O)cc1I
44,CARBONYL,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1C[C@@H](CCC=O)[C@@H]2OCc1ccccc1
45,CARBONYL,CCCCCCCCc1ccc2cc(-c3c(C=O)oc4ccccc34)ccc2c1
46,CARBONYL,Cc1ccc(S(=O)(=O)N2[C@H](c3ccccc3C)[C@H](C=O)[C@H]3CC(=O)C=C[C@]32C)cc1
47,CARBONYL,CCOC(=O)/C=C/c1ccccc1C(=O)c1ccc(OC)cc1
48,YLIDE,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)N1CCOCC1
49,CARBONYL,CC(C)=CCCC(=O)CCc1ccccc1
50,CARBONYL,CC(O)c1oc(=O)c2ccccc2c1-c1cccc(C=O)c1
51,CARBONYL,O=CCCCCc1cccc2ncccc12
52,CARBONYL,O=Cc1cc(Br)c2c(c1)CCN2CCCOCc1ccccc1
53,CARBONYL,O=C[C@H]1CC[C@H](c2ccc(OC3CCCCO3)cc2)CC1
54,CARBONYL,CCOC(=O)CCCCC=O
55,CARBONYL,O=Cc1ccc(C(=O)OCc2ccccc2)cc1
56,CARBONYL,COc1ccc(C=O)c2c1CCCC2
57,CARBONYL,C=CC[C@@H](CC[C@H](C)C=O)O[Si](C)(C)C(C)(C)C
58,PHOSPHINE,CN(C)P(N(C)C)N(C)C
59,YLIDE,FC(F)(F)C(F)(F)CCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1
60,CARBONYL,O=Cc1ccc(Cl)c(F)c1
61,CARBONYL,COc1ccccc1C(C=O)c1ccccc1
62,YLIDE,CS(=O)(=O)c1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c(C2CC2)c1
63,CARBONYL,COC(=O)c1ccc(F)c(-c2c(F)ccc(C=O)c2F)n1
64,CARBONYL,CCCCCCCCCOCC(COCCCCCCCCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
65,CARBONYL,CC(C=O)c1cc(-c2ccc(OCc3ccccc3)c(C(C)C=O)c2)ccc1OCc1ccccc1
66,CARBONYL,O=C(c1ccc(Cl)cc1)C(F)F
67,YLIDE,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1nccn1-c1ccccc1
68,CARBONYL,O=C[C@H](Cc1ccccc1)N1C(=O)c2ccccc2C1=O
69,CARBONYL,CO[C@@](C)(C=O)CC[C@H]1OC1(C)C
70,CARBONYL,COc1ccc2c(c1)CCC(Br)=C2C=O
71,CARBONYL,COc1ccc(CO[C@@H]([C@@H](C)[C@@H](OCOCC[Si](C)(C)C)C(C)=O)[C@H](C)C(=O)N(C)OC)cc1
72,CARBONYL,O=C1CC(CCc2ccccc2)c2ccccc21
73,CARBONYL,CCN1CCN(c2cccc3c2CN([C@H](CCC=O)c2ccc(OC)c(OC)c2)C3=O)CC1
74,CARBONYL,Cc1noc(-n2cccc2C=O)c1C
75,CARBONYL,Cc1cccc(C(=O)c2cnc[nH]2)c1C
76,CARBONYL,O=Cc1ccc(Sc2ccccc2)cc1
77,YLIDE,CCCCCCOc1csc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1OCCCCCC
78,CARBONYL,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O
79,CARBONYL,CC(C)[C@@H](C=O)N(C)C(=O)OC(C)(C)C
80,CARBONYL,C#CCNC(=O)CO[C@H]1O[C@H](COC(C)=O)C=C(OC(C)=O)C1=O
81,CARBONYL,CO[C@@H]1C(=O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1CC=C1CCCC1
82,CARBONYL,O=Cc1ccc(Oc2cnc(C(F)(F)F)nc2)cc1
83,CARBONYL,O=Cc1c[nH]c2ncc(Br)cc12
84,CARBONYL,COc1cc(C)cc(OC)c1C=O
85,YLIDE,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)Nc1ccccc1C(=O)O
86,CARBONYL,[N-]=[N+]=Nc1ccccc1C(=O)N1CCC[C@H]1C=O
87,CARBONYL,CCOC(=O)/C=C(C)/C=C/C=O
88,CARBONYL,O=Cc1cc2c(o1)CC1CC2c2ccccc21
89,YLIDE,CCOC(=O)C1=C(NC(=O)C=P(c2ccccc2)(c2ccccc2)c2ccccc2)CCCC1
90,CARBONYL,C/C=C(\C)C(OCCC(C)=O)/C(C)=C/C
91,YLIDE,CCOC(=O)c1cc2c(ccc3nc(SC)c(C=P(c4ccccc4)(c4ccccc4)c4ccccc4)cc32)s1
92,CARBONYL,Cn1ncc([N+](=O)[O-])c1N1CCC(=O)[C@H](NC(=O)C(F)(F)F)CC1
93,CARBONYL,CCCCCCC=C[C@H](CCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
94,CARBONYL,CC(=O)C1CC=CCC1
95,CARBONYL,C[C@]1(C[C@@H]2O[C@H]2C=O)CO1
96,CARBONYL,CCOC(=O)[C@]12CCCC1=CCCC2=O
97,CARBONYL,O=Cc1c(Br)ccc2ccccc12
98,YLIDE,COC(=O)C(OC)=P(c1ccccc1)(c1ccccc1)c1ccccc1
99,YLIDE,C=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)CCCC
100,CARBONYL,O=Cc1ccc2nccnc2c1
101,CARBONYL,O=Cc1ccc(Cl)cc1N1CCc2ccccc2C1
102,CARBONYL,O=Cc1cc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1
103,YLIDE,C=CCCCCCCCCC(C(=O)OC)=P(c1ccccc1)(c1ccccc1)c1ccccc1
104,CARBONYL,CC(=O)O[C@@H](CC/C=C/C=O)C1=C[C@H]2OC(C)(C)O[C@H]2O1
105,CARBONYL,COc1ccc2cc(C=O)c(=O)[nH]c2c1
106,CARBONYL,COCO[C@H](C)C[C@@H](CCC=O)OCc1ccccc1
107,CARBONYL,O=C1c2cc(-c3cccc4ccccc34)ccc2-c2ccc(-c3cccc4ccccc34)cc21
108,CARBONYL,CC(NC(=O)C[C@H]1C[C@@H](C=O)OC(C)(C)O1)c1ccccc1
109,CARBONYL,COc1cccc(C=O)c1-c1c(COC2CCCCO2)cccc1OC
110,CARBONYL,COc1cccc(CC(CCCO[Si](C)(C)C(C)(C)C)C(=O)c2ccccc2)c1
111,CARBONYL,CCC(=O)Nc1ccccc1C(=O)C(F)F
112,CARBONYL,COc1cc(C=O)c(Br)cc1C(C)(C)C
113,CARBONYL,CC(C)Oc1cc2ccccc2c(OC(C)C)c1C=O
114,CARBONYL,C=C[C@H](Oc1ccc(OC)cc1)[C@@]1(C=O)CO[C@H](C(C)(C)C)N1C(=O)OC(C)(C)C
115,CARBONYL,CC(C)(C)[Si](C)(C)O[C@H](C/C=C\CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CCC=O
116,CARBONYL,O=CCCCc1cc2c(cc1O)OCO2
117,CARBONYL,Cc1cn([C@H]2OC[C@H]3OC(C)(C)O[C@H]3C2=O)c(=O)[nH]c1=O
118,CARBONYL,CC(C)(C)[Si](C)(C)OCCC[C@@H]1O[C@@]1(C)C=O
119,CARBONYL,CC1(C)OC[C@H]([C@H]2[C@@H](C=O)N2Cc2ccccc2)O1
120,CARBONYL,COc1ccc(C(=O)CCC=C(C)C)cc1OC
121,CARBONYL,CCCCN(CCCC)c1ccc(N(c2ccc(C=O)cc2)c2ccc(N(CCCC)CCCC)cc2)cc1
122,CARBONYL,COc1cccc(C(=O)[C@@H](C)CN(C)C)c1
123,CARBONYL,C/C(C=O)=C\C[C@@H]1O[C@H](C)[C@H](NC(=O)/C=C\[C@H](C)OC(=O)N2CCOCC2)C[C@@H]1C
124,CARBONYL,CC(C)(C)[Si](C)(C)O[C@H]1C=C[C@H](CC=O)C1
125,CARBONYL,O=CCNC(=O)OCc1ccccc1
126,CARBONYL,CCOC(=O)CCCCCCCCCCCCC=O
127,CARBONYL,O=C1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1
128,CARBONYL,CC(=O)CC[C@H]1C(C)(C)[C@H]2CC[C@]1(CO)O2
129,CARBONYL,COc1ccc2c(c1)[C@@H](CC=O)[C@@]1(C(=O)N(C(=O)OC(C)(C)C)c3ccccc31)[C@H](c1ccc([N+](=O)[O-])cc1)O2
130,CARBONYL,CCOC(=O)COc1c(C)cccc1C=O
131,CARBONYL,CC1(C)O[C@H]2O[C@H](C=O)[C@]3(C[C@@H]4CC[C@@H](O)[C@@H]43)[C@H]2O1
132,CARBONYL,CC(=O)/C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C
133,CARBONYL,O=Cc1cccc(-c2cccc(Cl)c2)c1
134,CARBONYL,O=CCCNC(=O)OCc1ccccc1
135,CARBONYL,CC1(C)OC[C@H]2O[C@H]3C[C@H]3C(=O)[C@@H]2O1
136,CARBONYL,CC(=O)CCCC(=O)O
137,CARBONYL,COc1cc(Br)cc(C=O)c1
138,YLIDE,COc1ccc(COCCC=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
139,CARBONYL,C[C@@H](CCCC(C)(C)O)[C@H]1CC[C@H]2C(=O)CCC[C@]12C
140,CARBONYL,COc1ccc(CO[C@@H](C)[C@@H](C=O)OC(=O)c2ccccc2)cc1
141,CARBONYL,CC(C)(C)[Si](C)(C)Oc1cccc2cnc(C=O)nc12
142,CARBONYL,O=C[C@H](SCc1ccccc1)[C@@H](c1ccccc1)N1C(=O)CCC1=O
143,CARBONYL,O=Cc1ccc(-c2ccc(Cl)c(C(=O)O)c2)[nH]1
144,CARBONYL,O=CC1(c2ccccc2)COC2(CCCCCCCCCCC2)OO1
145,CARBONYL,O=CC(=O)c1ccccc1
